id	title	price	original_price	available_quantity	thumbnail	created_date
MLC1361051505	CaféInstantáneoNescaféTradiciónLata400G	9445.0	13890.0	500	http://http2.mlstatic.com/D_808644-MLU72628063394_112023-I.jpg	20241124
MLC1775688454	GomitasFrugeléAmbrosoliBolsa430G	2590.0		500	http://http2.mlstatic.com/D_634179-MLC50409466910_062022-I.jpg	20241124
MLC1691005418	CerealPillowsChocolateColaCao720g	3892.0	5190.0	500	http://http2.mlstatic.com/D_839109-MLU75357935077_032024-I.jpg	20241124
MLC1408984284	LoncolecheBlancaEntera1Litro	1000.0	1120.0	500	http://http2.mlstatic.com/D_948105-MLU72542114132_112023-I.jpg	20241124
MLC2498149308	DulcesSunyDeAmbrosoliCalugaSaborManjarBolsa360g	2153.0		1	http://http2.mlstatic.com/D_816941-MLU72560057284_112023-I.jpg	20241124
MLC1289879312	CaféOrgánicoLiofilizadoStirItUp100G·MarleyCoffee	11242.0	14990.0	500	http://http2.mlstatic.com/D_703085-MLC49400245277_032022-I.jpg	20241124
MLC1400148233	WhiskyJohnnieWalkerRedLabel1.5Litros	17490.0	19990.0	250	http://http2.mlstatic.com/D_645263-MLU74126714651_012024-I.jpg	20241124
MLC1226571793	PackSalsaDeTomatePomarolaItaliana6UnDe200G	3545.0	4640.0	150	http://http2.mlstatic.com/D_819273-MLC49930011682_052022-I.jpg	20241124
MLC1776737804	AmbrosoliCarameloMiniturron300Gr	1663.0		250	http://http2.mlstatic.com/D_630581-MLU74423757136_022024-I.jpg	20241124
MLC1433773146	YerbaMateCanariasTradicional1Kg	10990.0		150	http://http2.mlstatic.com/D_639518-MLU72637444323_112023-I.jpg	20241124
MLC1786263152	ChoritosNuestraCocinaEnAceiteLata425G	1844.0	3389.0	50	http://http2.mlstatic.com/D_626774-MLU73105489228_122023-I.jpg	20241124
MLC1770156234	WhiskyJohnnieWalkerBlackLabel12Años750ml	27150.0	35990.0	500	http://http2.mlstatic.com/D_628436-MLU75758600569_042024-I.jpg	20241124
MLC2150562098	CacaoAmargoPolvoEdra150g	1499.0		500	http://http2.mlstatic.com/D_765373-MLU74087540047_012024-I.jpg	20241124
MLC2616679236	DeRossettiAceiteDeOlivaExtraVirgem5Litros	33690.0		50	http://http2.mlstatic.com/D_937071-MLU74192177793_012024-I.jpg	20241124
MLC1245558924	LecheSemidescremadaLoncolecheSinTapa1L	1000.0	1120.0	200	http://http2.mlstatic.com/D_682349-MLC50308843887_062022-I.jpg	20241124
MLC1434730922	PiñataDeCumpleañosFruna(bolsaDeDulcesVariada)	7992.0	9990.0	50	http://http2.mlstatic.com/D_862719-MLC52573468493_112022-I.jpg	20241124
MLC1503425039	CaféNescafé®FinaSelecciónFrasco200g	7821.0		1	http://http2.mlstatic.com/D_678504-MLC49171016348_022022-I.jpg	20241124
MLC2220236640	LecheCondensadaNestlé®Lata397g	1631.0	2039.0	500	http://http2.mlstatic.com/D_725366-MLU75379946317_032024-I.jpg	20241124
MLC2230033196	AzúcarBlancaIansaGranulada1Kg	1390.0	1490.0	500	http://http2.mlstatic.com/D_790488-MLU73782442548_012024-I.jpg	20241124
MLC1362340239	LecheEnteraNaturalColunSinTapa1L	1280.0		250	http://http2.mlstatic.com/D_896098-MLU74996448049_032024-I.jpg	20241124
